To,From,Date,Subject,nombre_remitente,CurrentEmploymentType_remitente,CurrentEmploymentTitle_remitente,nombre_dest,CurrentEmploymentType_dest,CurrentEmploymentTitle_dest
Felix.Balas@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/7/2014 12:34,RE: I’m in! -  post a list,Carla Forluniau,Administration,Assistant to IT Group Manager,Felix Balas,Engineering,Engineer
Felix.Balas@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/7/2014 13:21,RE: I’m in! -  post a list,Carla Forluniau,Administration,Assistant to IT Group Manager,Felix Balas,Engineering,Engineer
Felix.Balas@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/13/2014 13:25,Supplies,Hennie Osvaldo,Security,Perimeter Control,Felix Balas,Engineering,Engineer
Felix.Resumir@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,1/7/2014 9:34,"Hey, I’m going home sick.",Ada Campo-Corrente,Executive,SVP/CIO,Felix Resumir,Security,Security Group Manager
Felix.Resumir@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,1/7/2014 11:51,"RE: Hey, I’m going home sick.",Ada Campo-Corrente,Executive,SVP/CIO,Felix Resumir,Security,Security Group Manager
Felix.Resumir@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/17/2014 9:23,Are you buying coffee?,Benito Hawelon,Facilities,Truck Driver,Felix Resumir,Security,Security Group Manager
Felix.Resumir@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/17/2014 10:56,RE: Are you buying coffee?,Benito Hawelon,Facilities,Truck Driver,Felix Resumir,Security,Security Group Manager
Felix.Resumir@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/17/2014 11:35,RE: Are you buying coffee?,Benito Hawelon,Facilities,Truck Driver,Felix Resumir,Security,Security Group Manager
Felix.Resumir@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/2014 16:25,RE: They need that report today,Dante Coginian,Facilities,Lead Janitor,Felix Resumir,Security,Security Group Manager
Gustav.Cazar@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/7/2014 14:35,Need a ride to lunch later,Anda Ribera,Administration,Assistant to CFO,Gustav Cazar,Engineering,Hydraulic Technician
Gustav.Cazar@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/7/2014 16:52,RE: Need a ride to lunch later,Anda Ribera,Administration,Assistant to CFO,Gustav Cazar,Engineering,Hydraulic Technician
Gustav.Cazar@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/16/2014 9:27,Plants,Orhan Strum,Executive,SVP/COO,Gustav Cazar,Engineering,Hydraulic Technician
Gustav.Cazar@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/16/2014 12:13,RE: Plants,Orhan Strum,Executive,SVP/COO,Gustav Cazar,Engineering,Hydraulic Technician
Gustav.Cazar@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/16/2014 12:36,RE: Plants,Orhan Strum,Executive,SVP/COO,Gustav Cazar,Engineering,Hydraulic Technician
Henk.Mies@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/13/2014 16:31,RE: Tools,Anda Ribera,Administration,Assistant to CFO,Henk Mies,Facilities,Truck Driver
Henk.Mies@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/13/2014 17:01,RE: Tools,Anda Ribera,Administration,Assistant to CFO,Henk Mies,Facilities,Truck Driver
Henk.Mies@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,1/17/2014 15:03,Out of staples,Edvard Vann,Security,Perimeter Control,Henk Mies,Facilities,Truck Driver
Henk.Mies@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/10/2014 15:23,RE: Late for meeting,Inga Ferro,Security,Site Control,Henk Mies,Facilities,Truck Driver
Henk.Mies@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/10/2014 16:16,RE: Late for meeting,Inga Ferro,Security,Site Control,Henk Mies,Facilities,Truck Driver
Henk.Mies@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/10/2014 16:44,RE: Late for meeting,Inga Ferro,Security,Site Control,Henk Mies,Facilities,Truck Driver
Henk.Mies@gastech.com.kronos,Sten.Sanjorge Jr.@gastech.com.kronos,1/17/2014 13:03,RE: Files,Sten Sanjorge Jr.,Executive,President/CEO,Henk Mies,Facilities,Truck Driver
Henk.Mies@gastech.com.kronos,Sten.Sanjorge Jr.@gastech.com.kronos,1/17/2014 14:39,RE: Files,Sten Sanjorge Jr.,Executive,President/CEO,Henk Mies,Facilities,Truck Driver
Hennie.Osvaldo@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/13/2014 16:23,RE: Supplies,Felix Balas,Engineering,Engineer,Hennie Osvaldo,Security,Perimeter Control
Hennie.Osvaldo@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Hennie Osvaldo,Security,Perimeter Control
Hennie.Osvaldo@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Hennie Osvaldo,Security,Perimeter Control
Hennie.Osvaldo@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Hennie Osvaldo,Security,Perimeter Control
Hennie.Osvaldo@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/9/2014 13:38,Files,Rachel Pantanal,Administration,Assistant to CIO,Hennie Osvaldo,Security,Perimeter Control
Hennie.Osvaldo@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/9/2014 14:29,RE: Files,Rachel Pantanal,Administration,Assistant to CIO,Hennie Osvaldo,Security,Perimeter Control
Hennie.Osvaldo@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 16:48,FW: ARISE - Inspiration for Defenders of Kronos,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Hennie Osvaldo,Security,Perimeter Control
Hennie.Osvaldo@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/14/2014 16:57,RE: Action: Virus detected on your system,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Hennie Osvaldo,Security,Perimeter Control
Hideki.Cocinaro@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,1/7/2014 14:22,RE: No hurry,Cornelia Lais,Administration,Assistant to Security Group Manager,Hideki Cocinaro,Security,Site Control
Hideki.Cocinaro@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,1/7/2014 14:46,RE: No hurry,Cornelia Lais,Administration,Assistant to Security Group Manager,Hideki Cocinaro,Security,Site Control
Hideki.Cocinaro@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/2014 12:58,RE: Tools,Dante Coginian,Facilities,Lead Janitor,Hideki Cocinaro,Security,Site Control
Hideki.Cocinaro@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/2014 14:17,RE: Tools,Dante Coginian,Facilities,Lead Janitor,Hideki Cocinaro,Security,Site Control
Hideki.Cocinaro@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,1/15/2014 10:19,On my way,Isande Borrasca,Engineering,Drill Technician,Hideki Cocinaro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/10/2014 13:13,Late for meeting,Henk Mies,Facilities,Truck Driver,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/10/2014 15:42,RE: Late for meeting,Henk Mies,Facilities,Truck Driver,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/10/2014 16:41,RE: Late for meeting,Henk Mies,Facilities,Truck Driver,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,1/17/2014 8:33,Favor - water plants please next month,Kare Orilla,Engineering,Drill Technician,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 16:48,FW: ARISE - Inspiration for Defenders of Kronos,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/14/2014 16:57,RE: Action: Virus detected on your system,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,1/7/2014 11:53,RE: Late for meeting,Willem Vasco-Pais,Executive,Environmental Safety Advisor,Inga Ferro,Security,Site Control
Inga.Ferro@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,1/7/2014 12:07,RE: Late for meeting,Willem Vasco-Pais,Executive,Environmental Safety Advisor,Inga Ferro,Security,Site Control
Ingrid.Barranco@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,1/6/2014 13:54,Supplies,Cecilia Morluniau,Facilities,Truck Driver,Ingrid Barranco,Executive,SVP/CFO
Ingrid.Barranco@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,1/6/2014 15:27,RE: Supplies,Cecilia Morluniau,Facilities,Truck Driver,Ingrid Barranco,Executive,SVP/CFO
Ingrid.Barranco@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,1/13/2014 11:26,"RE: Works for me, thanks",Kare Orilla,Engineering,Drill Technician,Ingrid Barranco,Executive,SVP/CFO
Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 11:04,Plants,Loreto Bodrogi,Security,Site Control,Ingrid Barranco,Executive,SVP/CFO
Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 12:48,RE: Plants,Loreto Bodrogi,Security,Site Control,Ingrid Barranco,Executive,SVP/CFO
Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 13:26,RE: Plants,Loreto Bodrogi,Security,Site Control,Ingrid Barranco,Executive,SVP/CFO
Irene.Nant@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/7/2014 10:34,"Works for me, thanks",Carla Forluniau,Administration,Assistant to IT Group Manager,Irene Nant,Facilities,Truck Driver
Irene.Nant@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,1/8/2014 8:25,No hurry,Kanon Herrero,Security,Badging Office,Irene Nant,Facilities,Truck Driver
Irene.Nant@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/15/2014 9:52,Ha ha,Orhan Strum,Executive,SVP/COO,Irene Nant,Facilities,Truck Driver
Irene.Nant@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/15/2014 10:54,RE: Ha ha,Orhan Strum,Executive,SVP/COO,Irene Nant,Facilities,Truck Driver
Isak.Baza@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/15/2014 13:45,Are you buying coffee?,Birgitta Frente,Engineering,Geologist,Isak Baza,Information Technology,IT Technician
Isak.Baza@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/15/2014 15:18,RE: Are you buying coffee?,Birgitta Frente,Engineering,Geologist,Isak Baza,Information Technology,IT Technician
Isak.Baza@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/15/2014 16:18,RE: Are you buying coffee?,Birgitta Frente,Engineering,Geologist,Isak Baza,Information Technology,IT Technician
Isande.Borrasca@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/15/2014 12:41,RE: On my way,Hideki Cocinaro,Security,Site Control,Isande Borrasca,Engineering,Drill Technician
Isia.Vann@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/9/2014 14:36,RE: Awwww- cute!,Claudio Hawelon,Facilities,Truck Driver,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/9/2014 14:50,RE: Awwww- cute!,Claudio Hawelon,Facilities,Truck Driver,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/7/2014 11:15,RE: Karoake night - :),Rachel Pantanal,Administration,Assistant to CIO,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/7/2014 11:22,RE: This weekend?,Rachel Pantanal,Administration,Assistant to CIO,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/10/2014 16:55,RE: New gyro place opened nearby - YUM,Rachel Pantanal,Administration,Assistant to CIO,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/14/2014 9:50,RE: Did you like the flowers? - yes!,Rachel Pantanal,Administration,Assistant to CIO,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/15/2014 16:33,RE: This weekend?,Rachel Pantanal,Administration,Assistant to CIO,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 16:48,FW: ARISE - Inspiration for Defenders of Kronos,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Isia Vann,Security,Perimeter Control
Isia.Vann@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/14/2014 16:57,RE: Action: Virus detected on your system,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Isia Vann,Security,Perimeter Control
Kanon.Herrero@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/6/2014 16:39,RE: Late for meeting,Nils Calixto,Information Technology,IT Technician,Kanon Herrero,Security,Badging Office
Kanon.Herrero@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/6/2014 17:07,RE: Late for meeting,Nils Calixto,Information Technology,IT Technician,Kanon Herrero,Security,Badging Office
Kare.Orilla@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,1/13/2014 10:59,"Works for me, thanks",Ingrid Barranco,Executive,SVP/CFO,Kare Orilla,Engineering,Drill Technician
