from,to,date,subject
Linnea.Bergen@gastech.com.kronos,Sten.Sanjorge Jr.@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Irene.Nant@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Isak.Baza@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Linnea.Bergen@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/6/2014 11:16,RE: Upcoming birthdays
Lucas.Alcazar@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/6/2014 11:23,GT-SeismicProcessorPro Bug Report
Lucas.Alcazar@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,1/6/2014 11:23,GT-SeismicProcessorPro Bug Report
Isak.Baza@gastech.com.kronos,Isak.Baza@gastech.com.kronos,1/6/2014 11:34,RE: GT-SeismicProcessorPro Bug Report
Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1/6/2014 11:34,RE: GT-SeismicProcessorPro Bug Report
Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,1/6/2014 11:40,RE: GT-SeismicProcessorPro Bug Report
Lucas.Alcazar@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1/6/2014 11:40,RE: GT-SeismicProcessorPro Bug Report
Sten.Sanjorge Jr.@gastech.com.tethys,Orhan.Strum@gastech.com.kronos,1/6/2014 11:53,IPO
Sten.Sanjorge Jr.@gastech.com.tethys,Willem.Vasco-Pais@gastech.com.kronos,1/6/2014 11:53,IPO
Mat.Bramar@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1/6/2014 12:05,Craft night
Mat.Bramar@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/6/2014 12:05,Craft night
Mat.Bramar@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/6/2014 12:05,Craft night
Mat.Bramar@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,1/6/2014 12:05,Craft night
Mat.Bramar@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/6/2014 12:05,Craft night
Mat.Bramar@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/6/2014 12:05,Craft night
Mat.Bramar@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,1/6/2014 12:05,Craft night
Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,1/6/2014 12:05,RE: GT-SeismicProcessorPro Bug Report
Lucas.Alcazar@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1/6/2014 12:05,RE: GT-SeismicProcessorPro Bug Report
Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 12:15,RE: Plants
Axel.Calzas@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Axel.Calzas@gastech.com.kronos,Vira.Frente@gastech.com.kronos,1/6/2014 12:15,Wellhead flow rate data
Lars.Azada@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/6/2014 12:21,RE: Wellhead flow rate data
Lars.Azada@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/6/2014 12:21,RE: Wellhead flow rate data
Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/6/2014 12:21,RE: Wellhead flow rate data
Stenig.Fusil@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/6/2014 12:28,RE: Service anniversary
Orhan.Strum@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1/6/2014 12:28,RE: Service anniversary
Albina.Hafon@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/6/2014 12:30,RE: New refueling policies - Effective February 1
Albina.Hafon@gastech.com.kronos,Irene.Nant@gastech.com.kronos,1/6/2014 12:30,RE: New refueling policies - Effective February 1
Albina.Hafon@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,1/6/2014 12:30,RE: New refueling policies - Effective February 1
Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/6/2014 12:30,RE: New refueling policies - Effective February 1
Albina.Hafon@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1/6/2014 12:30,RE: New refueling policies - Effective February 1
Albina.Hafon@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,1/6/2014 12:30,RE: New refueling policies - Effective February 1
Albina.Hafon@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/6/2014 12:30,RE: New refueling policies - Effective February 1
Nils.Calixto@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/6/2014 12:34,RE: GT-SeismicProcessorPro Bug Report
Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,1/6/2014 12:34,RE: GT-SeismicProcessorPro Bug Report
Felix.Balas@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/6/2014 12:36,RE: Wellhead flow rate data
Felix.Balas@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/6/2014 12:36,RE: Wellhead flow rate data
Felix.Balas@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/6/2014 12:36,RE: Wellhead flow rate data
Felix.Balas@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/6/2014 12:37,RE: Wellhead flow rate data
Felix.Balas@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/6/2014 12:37,RE: Wellhead flow rate data
Felix.Balas@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/6/2014 12:37,RE: Wellhead flow rate data
Lars.Azada@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/6/2014 12:39,RE: Wellhead flow rate data
Lars.Azada@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/6/2014 12:39,RE: Wellhead flow rate data
Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/6/2014 12:39,RE: Wellhead flow rate data
Loreto.Bodrogi@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1/6/2014 12:44,RE: Patrol schedule changes
Loreto.Bodrogi@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/6/2014 12:44,RE: Patrol schedule changes
Loreto.Bodrogi@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 12:44,RE: Patrol schedule changes
Loreto.Bodrogi@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/6/2014 12:44,RE: Patrol schedule changes
Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,1/6/2014 12:48,RE: Plants
Willem.Vasco-Pais@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/6/2014 12:56,RE: IPO
Willem.Vasco-Pais@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,1/6/2014 12:56,RE: IPO
Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1/6/2014 13:01,Favor - borrow hedge trimmer
Orhan.Strum@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/6/2014 13:05,RE: IPO
Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,1/6/2014 13:05,RE: IPO
Benito.Hawelon@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Irene.Nant@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Benito.Hawelon@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/6/2014 13:07,RE: New refueling policies - Effective February 1
Felix.Resumir@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Felix.Resumir@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 13:08,RE: Inspection request for site
Bertrand.Ovan@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Irene.Nant@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Bertrand.Ovan@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,1/6/2014 13:14,Facilities preparations for VIP visit
Felix.Balas@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/6/2014 13:16,RE: Wellhead flow rate data
Felix.Balas@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/6/2014 13:16,RE: Wellhead flow rate data
Felix.Balas@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/6/2014 13:16,RE: Wellhead flow rate data
Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/6/2014 13:21,RE: Plants
Birgitta.Frente@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1/6/2014 13:23,RE: Wellhead flow rate data
Birgitta.Frente@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/6/2014 13:23,RE: Wellhead flow rate data
Birgitta.Frente@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/6/2014 13:23,RE: Wellhead flow rate data
Carla.Forluniau@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1/6/2014 13:24,Question - Protocol for VIP visit
